male_markers,female_markers
хлопець,девушка
хлопці,девушку
хлопця,девушки
парень,дівчина
парни,девушек
парня,дівчину
мужчина,дівчата
мужчины,жінка
чоловік,жінку
чоловіка,жінки
мужчину,жіноча[^а-яА-ЯҐґЄєІіЇї]+стать
чоловіки,жіночої[^а-яА-ЯҐґЄєІіЇї]+статі
мужского[^а-яА-ЯҐґЄєІіЇї]+пола,женщина
стать[^а-яА-ЯҐґЄєІіЇї]+чоловіча,женщину
чоловічої[^а-яА-ЯҐґЄєІіЇї]+статі,женского[^а-яА-ЯҐґЄєІіЇї]+пола
пол[^а-яА-ЯҐґЄєІіЇї]+мужской,женщины
мужской[^а-яА-ЯҐґЄєІіЇї]+пол,стать[^а-яА-ЯҐґЄєІіЇї]+жіноча
чоловіча[^а-яА-ЯҐґЄєІіЇї]+стать,
молодой человек,
молодые люди,
молоді люди,
юноша,
юноши,
юнаки,
парней,
